sample_name	alt	altitude	anonymized_name	cage	collection_timestamp	description	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	hepatic_tg	host_age	host_age_units	host_body_habitat	host_body_mass_index	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_life_stage	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	latitude	liver_weight	longitude	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	sick	surger_bw	taxon_id	title	treatment_one	treatment_two
13052.5519	68.265	Not applicable	5519	2	2017-05-23 11:20	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	11.78306092	27	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 21	10090	25	g	32.5	1.81	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	24	410661	KZALD	Alcohol	Glycerol
13052.5520	174.875	Not applicable	5520	2	2017-05-23 11:21	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	25.98811293	27	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 22	10090	20.6	g	32.5	1.65	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	21	410661	KZALD	Alcohol	Glycerol
13052.5521	5.934	Not applicable	5521	2	2017-05-23 11:22	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	1.530460624	26	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 23	10090	18.8	g	32.5	0.832	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	22	410661	KZALD	Alcohol	Glycerol
13052.5522	31.605	Not applicable	5522	2	2017-05-23 11:23	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	5.482912333	26	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 24	10090	23.5	g	32.5	1.202	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	23	410661	KZALD	Alcohol	Glycerol
13052.5523	8.580	Not applicable	5523	2	2017-05-23 11:24	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	5.676077266	26	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 25	10090	20.9	g	32.5	0.997	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	23	410661	KZALD	Glucose	GTA
13052.5524	6.233	Not applicable	5524	2	2017-05-23 11:25	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	1.708766716	26	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 26	10090	22.4	g	32.5	0.968	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	22	410661	KZALD	Glucose	GTA
13052.5525	57.575	Not applicable	5525	2	2017-05-23 11:26	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	0.832095097	26	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 27	10090	23.8	g	32.5	1.505	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	24	410661	KZALD	Glucose	GTA
13052.5526	16.561	Not applicable	5526	2	2017-05-23 11:27	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	5.096582467	26	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 28	10090	24.1	g	32.5	1.158	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	25	410661	KZALD	Glucose	Glycerol
13052.5527	77.505	Not applicable	5527	2	2017-05-23 11:28	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	7.221396731	26	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 29	10090	24.2	g	32.5	1.22	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	23	410661	KZALD	Glucose	Glycerol
13052.5530	47.716	Not applicable	5530	2	2017-05-23 11:29	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	4.457652303	26	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 30	10090	21.7	g	32.5	1.043	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	21	410661	KZALD	Glucose	Glycerol
